rank_arwu;title;flag;regional;score_arwu;score_alumni
301;Complutense University of Madrid;;5-8;19.7;
301;Curtin University;;10-18;0;
301;Dalian University of Technology;;13-25;0;
301;Drexel University;;105-125;0;
301;Ecole Polytechnique;;15-17;17.5;
301;Eindhoven University of Technology;;11-12;0;
301;Eotvos Lorand University;;1;13.9;
301;ESPCI ParisTech;;15-17;7.4;
301;Federal University of Minas Gerais;;2-5;0;
301;Federal University of Rio de Janeiro;;2-5;0;
301;Flinders University;;10-18;15.8;
301;Georgetown University;;105-125;0;
301;Griffith University;;10-18;0;
301;Hannover Medical School;;23-30;0;
301;Hanyang University;;6-8;0;
301;Hiroshima University;;11-14;0;
301;Indian Institute of Science;;1;0;
301;Indiana University-Purdue University at Indianapolis;;105-125;0;
301;Jagiellonian University;;1-2;10.5;
301;James Cook University;;10-18;0;
301;Jilin University;;13-25;0;
301;Keio University;;11-14;0;
301;Kyung Hee University;;6-8;0;
301;Lancaster University;;30-33;0;
301;Lanzhou University;;13-25;0;
301;Linköping University;;9-10;0;
301;London School of Hygiene & Tropical Medicine;;30-33;7.4;
301;Nankai University;;13-25;0;
301;National and Kapodistrian University of Athens;;1;0;
301;National Chiao Tung University;;4;0;
301;Pohang University of Science and Technology;;6-8;0;
301;Polytechnic University of Valencia;;5-8;0;
301;Queen's University Belfast;;30-33;18.2;
301;Saint Petersburg State University;;2;27.3;
301;San Diego State University;;105-125;0;
301;Scuola Normale Superiore - Pisa;;9-12;0;
301;Shandong University;;13-25;0;
301;Sichuan University;;13-25;0;
301;South China University of Technology;;13-25;0;
301;Southeast University;;13-25;0;
301;SUNY at Albany;;105-125;0;
301;Swinburne University of Technology;;10-18;0;
301;Technical University of Berlin;;23-30;16.6;
301;Temple University;;105-125;0;
301;The Hong Kong Polytechnic University;;5;0;
301;The University of Montana - Missoula;;105-125;5.3;
301;The University of Reading;;30-33;0;
301;The University of Texas at Dallas;;105-125;0;
301;The University of Texas Health Science Center at San Antonio;;105-125;0;
301;Thomas Jefferson University;;105-125;0;
301;Tokyo Medical and Dental University;;11-14;0;
301;Tongji University;;13-25;0;
301;Tulane University;;105-125;0;
301;UNESP;;2-5;0;
301;University of Antwerp;;6-7;0;
301;University of Belgrade;;1;0;
301;University of Campinas;;2-5;0;
301;University of Central Florida;;105-125;0;
301;University of Colorado at Denver;;105-125;0;
301;University of Connecticut;;105-125;11.8;
301;University of Duesseldorf;;23-30;11.8;
301;University of Duisburg-Essen;;23-30;0;
301;University of Giessen;;23-30;0;
301;University of Granada;;5-8;0;
301;University of Halle-Wittenberg;;23-30;0;
301;University of Konstanz;;23-30;0;
301;University of Malaya;;1;0;
301;University of Manitoba;;17-18;0;
301;University of Milan - Bicocca;;9-12;0;
301;University of Naples Federico II;;9-12;0;
301;University of Newcastle;;10-18;0;
301;University of Oulu;;2-3;11.8;
301;Université Paris-Dauphine;;15-17;15.8;
301;University of Pompeu Fabra;;5-8;0;
301;University of Porto;;2;0;
301;University of Rhode Island;;105-125;0;
301;University of Roma - Tor Vergata;;9-12;0;
301;University of Saskatchewan;;17-18;9.1;
301;University of Southern Denmark;;4;0;
301;University of Tasmania;;10-18;0;
301;University of Technology; Sydney;;10-18;0;
301;University of Tehran;;1;12.9;
301;University of Turku;;2-3;0;
301;University of Twente;;11-12;0;
301;University of Ulm;;23-30;0;
301;University of Vermont;;105-125;13.9;
301;University of Warsaw;;1-2;15.8;
301;University of Wollongong;;10-18;0;
301;Vrije University Brussel;;6-7;13.9;
301;Wake Forest University;;105-125;0;
301;Wayne State University;;105-125;0;
301;Xiamen University;;13-25;0;
501;Aalborg University;;5;0;
501;Aalto University;;4-5;0;
501;Aristotle University of Thessaloniki;;2;0;
501;Auburn University;;126-146;0;
501;Bar-Ilan University;;5-6;0;
501;Ben-Gurion University of the Negev;;5-6;0;
501;Bielefeld University;;31-39;0;
501;Boston College;;126-146;0;
501;Brunel University;;34-38;0;
501;Cairo University;;1;19.7;
501;Capital University of Medical Sciences;;26-32;0;
501;Carleton University;;19-21;0;
501;Catholic University of Chile;;1-2;0;
501;Catholic University of Korea;;9-10;0;
501;Catholic University of the Sacred Heart;;13-21;0;
501;Chang Gung University;;5-7;0;
501;Clemson University;;126-146;0;
501;Deakin University;;19;0;
501;East China University of Science and Technology;;26-32;0;
501;Ewha Womans University;;9-10;0;
501;Federal University of Rio Grande do Sul;;6;0;
501;Istanbul University;;1;13.9;
501;Kanazawa University;;15-19;0;
501;Kansas State University;;126-146;0;
501;Kent State University;;126-146;0;
501;King Abdullah University of Science and Technology;;3-4;0;
501;King Fahd University of Petroleum & Minerals;;3-4;0;
501;Medical University of Graz;;4-6;0;
501;Medical University of South Carolina;;126-146;0;
501;MINES ParisTech;;18-21;13.9;
501;Nanjing Medical University;;26-32;0;
501;National Sun Yat-sen University;;5-7;0;
501;National Yang Ming University;;5-7;0;
501;Okayama University;;15-19;0;
501;Oklahoma State University;;126-146;0;
501;Osaka City University;;15-19;15.8;
501;Peking Union Medical College;;26-32;0;
501;Polytechnic University of Catalonia;;9-12;0;
501;Rush University;;126-146;0;
501;Saint Louis University;;126-146;0;
501;Soochow University;;26-32;0;
501;State University of New York Health Science Center at Brooklyn;;126-146;0;
501;Stellenbosch University;;3-4;0;
501;Stockholm School of Economics;;11;0;
501;Syracuse University;;126-146;0;
501;Technical University Darmstadt;;31-39;14.9;
501;Technical University of Braunschweig;;31-39;12.9;
501;The Open University;;34-38;0;
501;The University of Texas Medical Branch at Galveston;;126-146;0;
501;Tianjin University;;26-32;0;
501;Tilburg University;;13;0;
501;Tokyo University of Science;;15-19;0;
501;University College Cork;;3;0;
501;University of Alaska - Fairbanks;;126-146;0;
501;University of Arkansas at Fayetteville;;126-146;0;
501;University of Arkansas at Little Rock;;126-146;0;
501;University of Auvergne;;18-21;0;
501;University of Bath;;34-38;0;
501;University of Bayreuth;;31-39;0;
501;University of Bremen;;31-39;0;
501;University of Cagliari;;13-21;0;
501;University of Canterbury;;3-4;0;
501;University of Chile;;1-2;7.4;
501;University of Coimbra;;3;0;
