"country_tid";"rank_civil";"region_tid";"score_civil";"title"
174.0;130.0;140.0;0.0;"University of Bologna"
222.0;131.0;213.0;0.0;"Université de Montréal "
113.0;132.0;71.0;0.0;"Universiti Kebangsaan Malaysia (UKM)"
113.0;133.0;71.0;0.0;"Universiti Putra Malaysia (UPM)"
113.0;134.0;71.0;0.0;"Universiti Teknologi Malaysia (UTM)"
257.0;135.0;213.0;0.0;"University at Buffalo SUNY"
171.0;136.0;140.0;0.0;"University College Dublin"
54.0;137.0;6.0;0.0;"University of Cape Town"
191.0;138.0;140.0;0.0;"University of Coimbra"
208.0;139.0;140.0;0.0;"University of Edinburgh"
208.0;140.0;140.0;0.0;"University of Leeds"
146.0;141.0;140.0;0.0;"Université de Liège"
257.0;142.0;213.0;0.0;"University of Maryland, College Park"
166.0;143.0;140.0;0.0;"University of Patras"
191.0;144.0;140.0;0.0;"University of Porto"
208.0;145.0;140.0;0.0;"University of Salford"
208.0;146.0;140.0;0.0;"University of Southampton"
208.0;147.0;140.0;0.0;"University of Strathclyde"
319.0;148.0;317.0;0.0;"University of Technology, Sydney"
319.0;149.0;317.0;0.0;"University of Wollongong"
87.0;150.0;71.0;0.0;"Xi'an Jiaotong University"
87.0;151.0;71.0;0.0;"Zhejiang University"
111.0;152.0;71.0;0.0;"American University of Beirut (AUB)"
257.0;153.0;213.0;0.0;"Arizona State University"
87.0;154.0;71.0;0.0;"Beijing Jiaotong University"
169.0;155.0;140.0;0.0;"Budapest University of Technology and Economics"
319.0;156.0;317.0;0.0;"Griffith University"
208.0;157.0;140.0;0.0;"Heriot-Watt University"
158.0;159.0;140.0;0.0;"Institut National des Sciences Appliquées de Lyon (INSA)"
257.0;160.0;213.0;0.0;"Johns Hopkins University"
106.0;161.0;71.0;0.0;"Kyung Hee University"
222.0;162.0;213.0;0.0;"Laval University"
222.0;163.0;213.0;0.0;"McMaster University"
257.0;164.0;213.0;0.0;"Michigan State University"
128.0;165.0;71.0;0.0;"National Chiao Tung University"
208.0;166.0;140.0;0.0;"Newcastle University"
257.0;167.0;213.0;0.0;"Northeastern University"
257.0;168.0;213.0;0.0;"Ohio State University"
162.0;169.0;140.0;0.0;"Ruhr-Universität Bochum"
87.0;170.0;71.0;0.0;"Southeast University"
208.0;171.0;140.0;0.0;"Swansea University"
162.0;172.0;140.0;0.0;"Technische Universität Berlin"
162.0;173.0;140.0;0.0;"Technische Universität Braunschweig"
162.0;174.0;140.0;0.0;"Technische Universität Darmstadt"
162.0;175.0;140.0;0.0;"Technische Universität Dresden"
143.0;176.0;140.0;0.0;"Graz University of Technology"
222.0;177.0;213.0;0.0;"Western University"
87.0;178.0;71.0;0.0;"Tianjin University"
171.0;179.0;140.0;0.0;"Trinity College Dublin"
355.0;180.0;349.0;0.0;"Universidad de Chile"
357.0;181.0;349.0;0.0;"Universidad de Los Andes Colombia"
353.0;182.0;349.0;0.0;"Universidade estadual de Campinas(Unicamp)"
353.0;183.0;349.0;0.0;"Universidade Federal do Rio Grande Do Sul"
174.0;184.0;140.0;0.0;"Università  degli Studi di Pavia"
113.0;185.0;71.0;0.0;"Universiti Malaya (UM)"
257.0;186.0;213.0;0.0;"University of Arizona"
208.0;187.0;140.0;0.0;"University of Bath"
208.0;188.0;140.0;0.0;"University of Birmingham"
257.0;189.0;213.0;0.0;"UC Irvine - Extension, English and Certificates for Internationals"
208.0;190.0;140.0;0.0;"University of Dundee"
208.0;191.0;140.0;0.0;"The University of Exeter"
257.0;192.0;213.0;0.0;"University of Florida"
257.0;193.0;213.0;0.0;"University of Illinois at Chicago"
208.0;194.0;140.0;0.0;"University of Liverpool"
257.0;195.0;213.0;0.0;"University of Minnesota"
222.0;196.0;213.0;0.0;"University of Ottawa"
319.0;197.0;317.0;0.0;"University of South Australia"
257.0;198.0;213.0;0.0;"University of Southern California"
257.0;199.0;213.0;0.0;"University of Wisconsin-Madison"
87.0;200.0;71.0;0.0;"Wuhan University"
